"學生代號","W","Lab01","Lab02","Lab03","Lab04","Lab05","Lab06","Lab07","Lab08","Lab09","Lab10","HW1","HW2","HW3","HW4","HW5","Mid","OT","Final","FP","點名","Bonus","總成績","Grade"
"es26dcs001","False","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","0","","0.0","X"
"es26dcs002","False","0","100","60","0","0","0","0","0","0","0","73.57","65.75","66.0","68.36","0.0","","0.0","","0.0","0","","14.55","E"
"es26dcs003","False","100","0","60","60","0","0","0","100","100","100","73.21","71.5","86.29","0.0","68.79","34.5","62.67","42","81.61","2","","57.31","D"
"es26dcs004","False","100","100","60","60","60","0","100","60","60","100","40.89","70.5","43.83","79.0","85.0","37.5","61.6","58","62.0","3","","61.61","C-"
"es26dcs005","False","100","100","100","100","60","100","100","60","100","100","97.64","88.25","76.86","92.07","98.07","57.5","72.0","85","82.75","3","","83.47","A-"
"es26dcs006","False","100","100","60","60","60","0","0","0","100","100","86.93","82.0","76.64","80.71","80.93","72.5","64.0","69","84.82","3","","74.71","B"
"es26dcs007","False","100","100","60","100","100","100","100","60","100","100","99.57","92.25","89.71","95.07","98.29","77.0","100.0","96","102.75","3","","95.66","A+"
"es26dcs008","False","100","100","100","100","60","100","100","100","100","100","98.71","98.75","80.5","85.43","92.71","56.0","69.33","79","99.32","3","","85.45","A"
"es26dcs009","False","100","100","60","60","0","0","100","0","60","100","83.07","83.5","98.29","79.57","79.43","52.5","63.73","63","65.38","3","","68.56","C+"
"es26dcs010","False","100","100","60","60","60","100","100","60","100","100","87.14","80.75","79.64","81.79","91.0","65.0","64.8","74","100.79","3","","81.88","A-"
"es26dcs011","False","100","100","60","100","55","100","100","100","100","100","72.0","68.0","79.07","52.97","77.5","57.5","100.0","76","104.96","3","","83.5","A-"
"es26dcs012","False","100","100","100","100","60","100","100","100","100","100","72.57","73.0","77.5","79.29","80.71","59.5","62.13","88","101.64","3","","84.33","A-"
"es26dcs013","True","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","0.0","X"
